"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:35:19.3935540 am","python.exe","16236","TCP Accept","DESKTOP-QOFBQ6U:5001 -> DESKTOP-QOFBQ6U:60751","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 2619800, rcvwinscale: 8, sndwinscale: 8, seqnum: 0, connid: 0"
"10:35:19.3938898 am","python.exe","16236","TCP Receive","DESKTOP-QOFBQ6U:5001 -> DESKTOP-QOFBQ6U:60751","SUCCESS","Length: 210, seqnum: 0, connid: 0"
"10:35:19.3939472 am","python.exe","16236","Thread Create","","SUCCESS","Thread ID: 7612"
"10:35:19.3944031 am","python.exe","16236","CreateFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:35:19.3944271 am","python.exe","16236","QueryBasicInformationFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","CreationTime: 14/10/2020 10:52:20 am, LastAccessTime: 5/8/2022 10:35:03 am, LastWriteTime: 14/10/2020 10:52:20 am, ChangeTime: 24/6/2022 12:02:14 am, FileAttributes: A"
"10:35:19.3944397 am","python.exe","16236","QueryBasicInformationFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","CreationTime: 14/10/2020 10:52:20 am, LastAccessTime: 5/8/2022 10:35:03 am, LastWriteTime: 14/10/2020 10:52:20 am, ChangeTime: 24/6/2022 12:02:14 am, FileAttributes: A"
"10:35:19.3944494 am","python.exe","16236","CloseFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS",""
"10:35:19.3945203 am","python.exe","16236","CreateFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:35:19.3945445 am","python.exe","16236","QueryBasicInformationFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","CreationTime: 14/10/2020 10:52:20 am, LastAccessTime: 5/8/2022 10:35:03 am, LastWriteTime: 14/10/2020 10:52:20 am, ChangeTime: 24/6/2022 12:02:14 am, FileAttributes: A"
"10:35:19.3945581 am","python.exe","16236","QueryFileInternalInformationFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","IndexNumber: 0x10000000135b2"
"10:35:19.3945649 am","python.exe","16236","QueryStandardInformationFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","AllocationSize: 61,440, EndOfFile: 60,464, NumberOfLinks: 2, DeletePending: False, Directory: False"
"10:35:19.3946605 am","python.exe","16236","CreateFile","C:\Windows\System32\~BROMIUM\kernel.appcore.dll","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Non-Directory File, Complete If Oplocked, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
